Ngày,Đóng cửa,Mở cửa,Cao nhất,Thấp nhất,KL,% Thay đổi
1/6/2022,"68,288.40","67,908.50","68,953.20","67,718.50",1.23M,0.28%
31/05/2022,"68,098.40","68,478.30","68,763.30","68,098.40",2.06M,-1.10%
30/05/2022,"68,858.20","69,238.10","69,238.10","68,383.30",2.12M,-0.68%
27/05/2022,"69,333.10","67,718.50","69,618.00","67,148.60",3.46M,2.38%
26/05/2022,"67,718.50","68,288.40","68,288.40","67,148.60",1.53M,-0.83%
25/05/2022,"68,288.40","65,439.10","68,668.30","65,439.10",2.36M,4.35%
24/05/2022,"65,439.10","63,349.60","65,439.10","63,159.60",2.03M,3.92%
23/05/2022,"62,969.70","65,059.20","65,249.10","62,874.70",2.02M,-2.64%
20/05/2022,"64,679.30","65,534.00","66,388.80","64,584.30",1.30M,-1.30%
19/05/2022,"65,534.00","66,008.90","66,483.80","65,534.00",1.45M,-1.85%
18/05/2022,"66,768.70","66,483.80","66,958.70","66,008.90",1.98M,0.43%
17/05/2022,"66,483.80","62,304.80","66,483.80","61,924.90",2.11M,6.38%
16/05/2022,"62,494.80","63,254.60","64,204.40","62,399.80",1.98M,-0.45%
13/05/2022,"62,779.70","63,634.50","64,394.30","62,589.80",4.59M,-0.60%
12/5/2022,"63,159.60","66,293.90","66,293.90","63,159.60",3.19M,-4.32%
11/5/2022,"66,008.90","67,053.70","67,528.60","66,008.90",1.79M,-1.56%
10/5/2022,"67,053.70","66,483.80","68,288.40","66,483.80",3.11M,0.86%
9/5/2022,"66,483.80","66,673.80","67,908.50","66,103.90",2.39M,-0.28%
6/5/2022,"66,673.80","67,813.50","68,003.40","66,008.90",2.11M,-2.64%
5/5/2022,"68,478.30","69,523.10","69,523.10","67,908.50",1.55M,-0.55%
4/5/2022,"68,858.20","70,472.80","70,662.80","68,858.20",1.76M,-2.29%
29/04/2022,"70,472.80","70,662.80","71,232.70","70,282.90",1.63M,-0.13%
28/04/2022,"70,567.80","71,137.70","71,137.70","70,092.90",1.91M,-0.93%
27/04/2022,"71,232.70","71,422.60","71,992.50","69,998.00",1.83M,-1.19%
26/04/2022,"72,087.40","69,808.00","72,182.40","67,338.60",3.88M,3.27%
25/04/2022,"69,808.00","72,182.40","72,467.40","69,333.10",2.66M,-3.16%
22/04/2022,"72,087.40","71,897.50","72,657.30","71,707.50",2.80M,1.20%
21/04/2022,"71,232.70","71,517.60","72,657.30","71,232.70",4.62M,-0.79%
20/04/2022,"71,802.50","72,182.40","72,847.30","71,802.50",1.93M,-0.53%
19/04/2022,"72,182.40","73,227.20","73,797.00","72,182.40",1.67M,-1.30%
18/04/2022,"73,132.20","72,657.30","73,987.00","72,562.30",2.56M,0.65%
15/04/2022,"72,657.30","72,657.30","73,702.10","72,182.40",1.36M,0.26%
14/04/2022,"72,467.40","73,607.10","74,082.00","72,467.40",1.81M,-1.17%
13/04/2022,"73,322.10","72,942.20","74,556.80","72,847.30",2.12M,0.52%
